row_type,model,arm,feature,metric,first_window,n_runs,alternative,n_authors,estimate,ci_low,ci_high,wilcoxon_p,window_index
position,flash,old,f1,target_rank,,400,,20,10.190000000000001,8.0674375,12.2425625,,5
position,flash,old,f3,target_hit,,400,,20,0.12500000000000003,0.0524375000000001,0.21000000000000002,,1
position,flash,old,f3,target_kl,,400,,20,0.23333572388864607,0.20435811383877697,0.2652267916194468,,1
position,flash,old,f3,target_margin,,400,,20,-0.12025583541311424,-0.15791952516210134,-0.08373735468744835,,1
position,flash,old,f3,target_rank,,400,,20,8.7775,6.787437499999999,10.7926875,,1
position,flash,old,f3,target_hit,,400,,20,0.0925,0.034999999999999996,0.16756249999999967,,2
position,flash,old,f3,target_kl,,400,,20,0.2879056824376499,0.23699114482677097,0.3477545601425227,,2
position,flash,old,f3,target_margin,,400,,20,-0.17232305877909343,-0.2390034637006207,-0.11787554084113239,,2
position,flash,old,f3,target_rank,,400,,20,9.71,7.4074375,12.0576875,,2
position,flash,old,f3,target_hit,,400,,20,0.0975,0.03,0.185,,3
position,flash,old,f3,target_kl,,400,,20,0.31172984332813397,0.25445623270758744,0.3775384371430063,,3
position,flash,old,f3,target_margin,,400,,20,-0.19161871586909637,-0.25799541392589526,-0.13009884537841476,,3
position,flash,old,f3,target_rank,,400,,20,10.0075,7.822000000000001,12.323312499999997,,3
position,flash,old,f3,target_hit,,400,,20,0.09,0.032499999999999994,0.16249999999999998,,4
position,flash,old,f3,target_kl,,400,,20,0.3086492240075258,0.25143022465906495,0.3735529312089913,,4
position,flash,old,f3,target_margin,,400,,20,-0.18981193968429114,-0.26307601065187997,-0.12575501088684773,,4
position,flash,old,f3,target_rank,,400,,20,9.957500000000001,7.8370000000000015,12.302499999999998,,4
position,flash,old,f3,target_hit,,400,,20,0.08,0.03493750000000011,0.13499999999999998,,5
position,flash,old,f3,target_kl,,400,,20,0.3249698543205519,0.26435603673870234,0.3989731105205967,,5
position,flash,old,f3,target_margin,,400,,20,-0.20104588218929056,-0.27380750352635486,-0.13451300559811233,,5
position,flash,old,f3,target_rank,,400,,20,10.165000000000001,8.174812500000002,12.422749999999999,,5
position,human,human_interior,f1,target_hit,,52,,19,0.5087719298245613,0.3508771929824561,0.6491228070175438,,1
position,human,human_interior,f1,target_kl,,52,,19,0.039391570642953205,0.02424606400288536,0.05914133789697251,,1
position,human,human_interior,f1,target_margin,,52,,19,-0.013206993681865264,-0.03384127827515357,0.002190661227957151,,1
position,human,human_interior,f1,target_rank,,52,,19,3.6140350877192984,2.21030701754386,5.412280701754386,,1
position,human,human_interior,f1,target_hit,,52,,19,0.5175438596491229,0.3508771929824561,0.6932017543859637,,2
position,human,human_interior,f1,target_kl,,52,,19,0.04081472016095743,0.023087600637663838,0.06481422184091358,,2
position,human,human_interior,f1,target_margin,,52,,19,-0.009900785402567842,-0.036390042766619037,0.009752131906820272,,2
position,human,human_interior,f1,target_rank,,52,,19,3.4912280701754383,1.946929824561404,5.4916666666666645,,2
position,human,human_interior,f1,target_hit,,52,,19,0.6578947368421052,0.47368421052631576,0.8245614035087719,,3
position,human,human_interior,f1,target_kl,,52,,19,0.03443153489057936,0.020297585929753274,0.053749442678736215,,3
position,human,human_interior,f1,target_margin,,52,,19,-0.004649487681225419,-0.023539915539052096,0.010034786231381057,,3
position,human,human_interior,f1,target_rank,,52,,19,2.456140350877193,1.4561403508771928,3.8421052631578947,,3
position,human,human_interior,f1,target_hit,,52,,19,0.5175438596491228,0.3771929824561403,0.6578947368421052,,4
position,human,human_interior,f1,target_kl,,52,,19,0.03089091401832037,0.021638967123326205,0.0419543692354044,,4
