condition,label,author,fold,observation_index,score,calibrated_threshold,normalised_score,flagged
flash,human,oscar_wilde,3,4,876.8414456367932,448.9392291876774,1.9531406226704078,1
flash,human,oscar_wilde,3,5,376.881297308902,448.9392291876774,0.8394929041751175,0
flash,human,oscar_wilde,3,6,957.132323661625,448.9392291876774,2.1319863835323227,1
flash,human,oscar_wilde,3,7,1741.6590054262779,448.9392291876774,3.8794983645730445,1
flash,human,oscar_wilde,3,8,1161.4624616568071,448.9392291876774,2.5871262436975897,1
flash,human,oscar_wilde,3,9,872.8406489500176,448.9392291876774,1.9442289561760033,1
flash,human,joseph_conrad,0,1,379.2012239294653,441.8837615060074,0.8581469991951947,0
flash,human,joseph_conrad,0,2,503.58588005215677,441.8837615060074,1.1396342747148236,1
flash,human,joseph_conrad,0,3,408.7587350775682,441.8837615060074,0.9250367872411875,0
flash,human,joseph_conrad,0,4,145.89346008979732,441.8837615060074,0.3301625286988825,0
flash,human,joseph_conrad,0,5,357.81445447330304,441.8837615060074,0.8097479148222526,0
flash,human,joseph_conrad,0,6,484.47463818105234,441.8837615060074,1.096384797055879,1
flash,human,joseph_conrad,0,7,319.47762844929406,441.8837615060074,0.722990198509367,0
flash,human,joseph_conrad,0,8,146.8079317851332,441.8837615060074,0.33223201342540704,0
flash,human,joseph_conrad,0,9,160.08316312971255,441.8837615060074,0.36227437411170005,0
flash,human,joseph_conrad,0,10,106.10139405041292,441.8837615060074,0.2401115480885814,0
flash,human,joseph_conrad,0,11,152.48560361246115,441.8837615060074,0.34508080381312706,0
flash,human,joseph_conrad,0,12,129.48158295835827,441.8837615060074,0.293021817586293,0
flash,human,joseph_conrad,0,13,207.68452829626492,441.8837615060074,0.4699980999266511,0
flash,human,joseph_conrad,0,14,152.8324852795448,441.8837615060074,0.34586581040830366,0
flash,human,joseph_conrad,0,15,303.15626071530846,441.8837615060074,0.6860543136550337,0
flash,human,joseph_conrad,0,16,187.3421208990044,441.8837615060074,0.42396244718410525,0
flash,human,joseph_conrad,0,17,271.89525706324326,441.8837615060074,0.615309456352464,0
flash,human,joseph_conrad,0,18,193.08674764543545,441.8837615060074,0.43696275913685156,0
flash,human,joseph_conrad,0,19,115.2060902520901,441.8837615060074,0.2607158268487852,0
flash,human,joseph_conrad,0,20,151.60903154528998,441.8837615060074,0.3430970874072929,0
flash,human,joseph_conrad,0,21,169.20266610021685,441.8837615060074,0.38291216116099924,0
flash,human,joseph_conrad,0,22,160.3175106470208,441.8837615060074,0.3628047115844091,0
flash,human,joseph_conrad,0,23,227.26047482803006,441.8837615060074,0.5142992221608046,0
flash,human,joseph_conrad,0,24,117.51509331592595,441.8837615060074,0.26594118986272897,0
flash,human,joseph_conrad,0,25,102.55540530331633,441.8837615060074,0.23208683875096892,0
flash,human,mildred_wirt,0,1,62.18326609838631,441.8837615060074,0.1407231301880301,0
flash,human,mildred_wirt,0,2,45.11322153221193,441.8837615060074,0.10209296077877851,0
flash,human,mildred_wirt,0,3,72.24507723122899,441.8837615060074,0.16349339696260104,0
flash,human,mildred_wirt,0,4,91.41715618607739,441.8837615060074,0.20688055128913033,0
flash,human,mildred_wirt,0,5,50.18448396378012,441.8837615060074,0.11356942330884423,0
flash,human,mildred_wirt,0,6,63.589411772227294,441.8837615060074,0.14390529209651168,0
flash,human,mildred_wirt,0,7,68.10754708196733,441.8837615060074,0.1541300066104407,0
flash,human,mildred_wirt,0,8,109.10856133639882,441.8837615060074,0.24691688367216794,0
flash,human,mildred_wirt,0,9,93.98177951469916,441.8837615060074,0.2126843928240198,0
flash,human,mildred_wirt,0,10,90.759093870237,441.8837615060074,0.20539133088058303,0
flash,human,mildred_wirt,0,11,62.90932712098049,441.8837615060074,0.14236623429332612,0
flash,human,mildred_wirt,0,12,55.593725923094325,441.8837615060074,0.12581074654932423,0
flash,human,mildred_wirt,0,13,72.36342116661214,441.8837615060074,0.16376121385403833,0
flash,human,mildred_wirt,0,14,51.12414252205441,441.8837615060074,0.11569590687789821,0
flash,human,robert_sidney_bowen,1,1,218.32948185826365,483.8554732139631,0.4512287117639307,0
flash,human,robert_sidney_bowen,1,2,320.3504017420445,483.8554732139631,0.6620786980338322,0
flash,human,robert_sidney_bowen,1,3,323.780156631392,483.8554732139631,0.6691670851229887,0
flash,human,robert_sidney_bowen,1,4,149.34388492403414,483.8554732139631,0.30865391256614677,0
flash,human,robert_sidney_bowen,1,5,189.51477763133235,483.8554732139631,0.3916764160432015,0
flash,human,robert_sidney_bowen,1,6,152.40743147092533,483.8554732139631,0.3149854448448702,0
flash,human,robert_sidney_bowen,1,7,118.75991679609565,483.8554732139631,0.24544502102506854,0
flash,human,robert_sidney_bowen,1,8,87.31292668888706,483.8554732139631,0.1804524936112005,0
flash,human,robert_sidney_bowen,1,9,132.1258859437218,483.8554732139631,0.27306890850296356,0
flash,human,robert_sidney_bowen,1,10,78.44456102568776,483.8554732139631,0.16212395099021484,0
flash,human,robert_sidney_bowen,1,11,84.3679405815352,483.8554732139631,0.17436599408730324,0
flash,human,robert_sidney_bowen,1,12,70.61668204977076,483.8554732139631,0.145945816383364,0
