corpus_variant,feature,author,n_documents,n_marks,consistency_C,nearest_other_D,nearest_other,ratio_D_over_C,margin_D_minus_C,between_author_baseline,C_over_baseline
all_documents,f1,"Blackwood, Algernon",22,290955,0.028158836751254898,0.011034891301843684,"Coolidge, Susan",0.3918802257110963,-0.017123945449411215,0.16891442246323624,0.166704751084139
all_documents,f1,"Blanchard, Amy Ella",12,118845,0.011491452677212417,0.0071105383336010726,"Alger, Horatio, Jr.",0.6187675773752512,-0.004380914343611345,0.16891442246323624,0.06803121077309725
all_documents,f1,"Blasco Ibáñez, Vicente",14,200886,0.07795229483596063,0.018007490632629748,"Daudet, Alphonse",0.23100654920453487,-0.05994480420333088,0.16891442246323624,0.4614898698358734
all_documents,f1,"Bloundelle-Burton, John",14,230147,0.01222296805162885,0.004766482981694752,"Mühlbach, L. (Luise)",0.3899611748604353,-0.007456485069934097,0.16891442246323624,0.07236189706825742
all_documents,f1,"Boldrewood, Rolf",15,282371,0.01776136705793563,0.0051990818936455754,"Brady, Cyrus Townsend",0.29271856590130374,-0.012562285164290053,0.16891442246323624,0.10515009197513221
all_documents,f1,"Bone, Jesse F. (Jesse Franklin)",12,30232,0.1278554050517566,0.007495475542254925,"Goodwin, Harold L. (Harold Leland)",0.058624627869433545,-0.12035992950950168,0.16891442246323624,0.7569241464836076
all_documents,f1,"Boothby, Guy",16,207040,0.024707951411224817,0.0017980579300614567,"Murray, David Christie",0.0727724407473377,-0.02290989348116336,0.16891442246323624,0.14627496605035273
all_documents,f1,"Borrow, George",39,607603,0.0981981335615756,0.004723669156912238,"Marryat, Frederick",0.048103451517744374,-0.09347446440466337,0.16891442246323624,0.5813484256085246
all_documents,f1,"Boswell, James",12,449450,0.10296605751717652,0.012658174451111198,"Wood, William Charles Henry",0.12293540955474182,-0.09030788306606533,0.16891442246323624,0.6095752867969981
all_documents,f1,"Bourrienne, Louis Antoine Fauvelet de",16,67958,0.014890187686393623,0.0048165947523262104,"Jefferies, Richard",0.3234744150825933,-0.010073592934067413,0.16891442246323624,0.08815225762995124
all_documents,f1,"Bowen, Robert Sidney",15,145321,0.01792457089355585,0.014333532303665436,"Fyfe, H. B. (Horace Bowne)",0.7996583231355654,-0.0035910385898904155,0.16891442246323624,0.10611628440109716
all_documents,f1,"Bower, B. M.",29,296092,0.020893902755813463,0.0021780397790486677,"Peattie, Elia Wilkinson",0.10424284081836534,-0.018715862976764794,0.16891442246323624,0.12369519695904573
all_documents,f1,"Braddon, M. E. (Mary Elizabeth)",30,538823,0.021513743961538594,0.0016237607359622646,"Sedgwick, Anne Douglas",0.07547550713930401,-0.01988998322557633,0.16891442246323624,0.12736475457695745
all_documents,f1,"Brady, Cyrus Townsend",13,172126,0.12201497621566156,0.0032226517587790513,"Ellis, Edward Sylvester",0.02641193613055345,-0.11879232445688251,0.16891442246323624,0.722347887387874
all_documents,f1,"Brame, Charlotte M.",11,153903,0.00919880445304822,0.0030138458579756357,"Carey, Rosa Nouchette",0.3276345174374191,-0.006184958595072584,0.16891442246323624,0.054458371990410204
all_documents,f1,"Brand, Max",14,195218,0.031047189792530915,0.002431850935010093,"Rice, Alice Caldwell Hegan",0.07832757010411062,-0.028615338857520822,0.16891442246323624,0.183804256260523
all_documents,f1,"Brandes, Georg",11,205509,0.028198274504517694,0.004916263693626004,"Coleridge, Samuel Taylor",0.17434625983367746,-0.02328201081089169,0.16891442246323624,0.16693822879840217
all_documents,f1,"Brazil, Angela",27,329223,0.01897791342874251,0.0035520200189642645,"Perkins, Lucy Fitch",0.1871659933691469,-0.015425893409778246,0.16891442246323624,0.11235223820436648
all_documents,f1,"Brereton, F. S. (Frederick Sadleir)",18,321255,0.033753970901659255,0.0019459036267682078,"Frederic, Harold",0.05764962091238137,-0.03180806727489105,0.16891442246323624,0.19982882698489357
all_documents,f1,"Bridges, Robert",11,76571,0.2935423568017378,0.02057171167057125,"Jonson, Ben",0.07008089699458822,-0.27297064513116653,0.16891442246323624,1.7378170112479678
all_documents,f1,"Brinton, Daniel G. (Daniel Garrison)",18,110333,0.0857164368989507,0.008631321923163742,"Walsh, James J. (James Joseph)",0.10069622858144496,-0.07708511497578696,0.16891442246323624,0.5074548143904446
all_documents,f1,"Browning, Robert",10,96085,0.09198163214214086,0.03543296700298887,"Nietzsche, Friedrich Wilhelm",0.38521785467161174,-0.05654866513915199,0.16891442246323624,0.5445457575546009
all_documents,f1,"Buchan, John",11,141896,0.0683903694699929,0.01316128853181957,"Adams, Andy",0.1924435945267739,-0.05522908093817333,0.16891442246323624,0.40488176481719834
all_documents,f1,"Buchanan, Robert Williams",10,83453,0.043673428776957395,0.0015030136159034794,"Fleming, May Agnes",0.03441482974875759,-0.042170415161053916,0.16891442246323624,0.2585535808019164
