contrast,left,right,rival_mode,window_policy,feature,test_chunk_size,n_authors,accuracy_difference,accuracy_ci_low,accuracy_ci_high,accuracy_wilcoxon_p,kl_true_difference,kl_true_ci_low,kl_true_ci_high,kl_true_wilcoxon_p,margin_difference,margin_ci_low,margin_ci_high,margin_wilcoxon_p,gap_low,gap_high
two_books_500_vs_one_book_1000,two_books N=500,one_book N=1000,asymmetric,middle,f3,1000,20,0.013680704947998085,-0.049908202445720536,0.07309552873180296,0.3143893322216611,-0.02631882546313214,-0.04927263541541814,-0.007074249017239367,0.029575347900390625,0.026318825463132127,0.007074249017239359,0.04927263541541814,0.029575347900390625,,
P3a,two_books N=1000,one_book N=2000,asymmetric,middle,f1,2000,18,-0.008214746403564701,-0.068583918217971,0.0491396325208356,0.6791156892928161,-0.002571362539384399,-0.009461035282139629,0.004850800713130317,0.2121429443359375,0.002571362539384396,-0.004850800713130317,0.009461035282139617,0.2121429443359375,,
P3b,two_books N=2000,one_book N=4000,asymmetric,middle,f1,2000,17,-0.0015601805958236445,-0.04238174231175258,0.041745661467587326,0.8647045760375567,-0.0018086000417957778,-0.0069434871663046896,0.0027303894350743465,0.328948974609375,0.001808600041795776,-0.0027303894350743534,0.006943487166304693,0.328948974609375,,
two_books_500_vs_one_book_1000,two_books N=500,one_book N=1000,asymmetric,middle,f1,2000,20,-0.010262553506087454,-0.08008313350351419,0.0576842949290017,1.0,-0.01398208214824399,-0.026545279221417417,-0.003674229080666644,0.029575347900390625,0.01398208214824399,0.003674229080666641,0.02654527922141741,0.029575347900390625,,
P3a,two_books N=1000,one_book N=2000,asymmetric,middle,f1,1000,19,0.015739210444448103,-0.033814363575036935,0.06487128134170007,0.5227810104666994,-0.000885697536892213,-0.008180826981961061,0.007016912146795058,0.37359619140625,-0.0009709961785556597,-0.011380635504152569,0.007723010267685373,0.3954620361328125,,
P3b,two_books N=2000,one_book N=4000,asymmetric,middle,f1,1000,18,0.01776620216061903,-0.014856499296123591,0.04948423388477766,0.3559586988465746,-0.005062335390297771,-0.012560284204543767,0.0013381283751748088,0.16735076904296875,0.0050623353902977675,-0.0013381283751748114,0.012560284204543751,0.16735076904296875,,
two_books_500_vs_one_book_1000,two_books N=500,one_book N=1000,asymmetric,middle,f1,1000,20,0.004183021376119771,-0.04810286135829943,0.05666750891778738,0.7172177958043885,-0.014007497797530206,-0.026059465765142373,-0.004011687978843999,0.029575347900390625,0.014007497797530199,0.004011687978843997,0.02605946576514237,0.029575347900390625,,
gap growth,gap N=2000,gap N=500,symmetric,random,f3,2000,18,0.01985599961369288,-0.015611990134497301,0.05587404605176784,0.34654998779296875,,,,,,,,,0.061645396364643945,0.08150139597833682
gap growth,gap N=4000,gap N=500,symmetric,random,f3,2000,17,-0.016654046908611792,-0.06869358143389359,0.03608989846337333,0.5790557861328125,,,,,,,,,0.0647814000723681,0.048127353163756305
gap growth,gap N=4000,gap N=1000,symmetric,random,f3,2000,17,-0.032920378560971936,-0.08697355933084032,0.0162458116136881,0.6112213134765625,,,,,,,,,0.08104773172472825,0.048127353163756305
