rival_mode,window_policy,feature,test_chunk_size,budget_n,design,reference_marks,predicted_n_eff,n_authors,n_chunk_observations,macro_accuracy,macro_accuracy_ci_low,macro_accuracy_ci_high,macro_kl_true,macro_kl_true_ci_low,macro_kl_true_ci_high,macro_margin,macro_margin_ci_low,macro_margin_ci_high
asymmetric,random,f3,2000,4000,one_book,8000,1325.8926754860408,17,9280,0.6633442522845152,0.5219756434579417,0.7895548071975612,0.08071198009615434,0.056565845214628416,0.10968916816580795,0.001761213898215716,-0.024732995269431936,0.02451157902967123
asymmetric,random,f3,2000,4000,two_books,8000,2274.7723511273434,17,9280,0.7182602722559603,0.588668687671966,0.8368841503702052,0.06800853583324498,0.0502252660298373,0.08869462230152092,0.014464658161125103,-0.0054821641779344435,0.03133576496843507
symmetric,middle,f1,1000,500,one_book,1000,613.794846112894,20,1003,0.289415915274941,0.1939797636793103,0.3972156853694772,0.06962493008487343,0.04747940412965338,0.09453814538416064,-0.04359882990523149,-0.06693599059453954,-0.022767985379177055
symmetric,middle,f1,1000,500,two_books,1000,760.68509896574,20,1003,0.3691291365337567,0.2709377929278766,0.47007854446923664,0.05802912427773292,0.03682538567361086,0.08376306946541354,-0.031078811789522348,-0.05675893059778004,-0.010873323329395966
symmetric,middle,f1,1000,1000,one_book,2000,885.5757668938548,20,1003,0.36795476485088024,0.2896720980209492,0.4542167481755657,0.07203662207526311,0.04209328900378199,0.10849774585906805,-0.0434416707088699,-0.078756691410672,-0.015451502722857972
symmetric,middle,f1,1000,1000,two_books,2000,1227.589692225788,20,1003,0.4210966580075636,0.3270033151961798,0.5156476451216767,0.054384230731402625,0.034908634066198645,0.07710554209277407,-0.025205092265506997,-0.04736736230932018,-0.00726257428924937
symmetric,middle,f1,1000,2000,one_book,4000,1137.3861755636717,19,977,0.405499021946309,0.3028733550711573,0.5190747849856108,0.05638115666314919,0.03792414458910738,0.0793481513360168,-0.02462184427312565,-0.04339729551780145,-0.008937850019141215
symmetric,middle,f1,1000,2000,two_books,4000,1771.1515337877097,19,977,0.48408774419823647,0.36983641000496303,0.5967990169778133,0.04776107476701171,0.03063312362664496,0.06776657693509043,-0.016358237364696875,-0.033937422794804786,-0.002239980593661361
symmetric,middle,f1,1000,4000,one_book,8000,1325.8926754860408,18,959,0.4784960532604263,0.35954291399472876,0.6006479426213776,0.04643158055290429,0.030826642143299977,0.065184026393218,-0.014866346220886915,-0.029983745595338944,-0.001875902049885713
symmetric,middle,f1,1000,4000,two_books,8000,2274.7723511273434,18,959,0.5185651258248162,0.3867108113444916,0.6473066366666662,0.03864031658128032,0.026707531862080282,0.05316346974791829,-0.006448856553934873,-0.019071112754891765,0.0036487809139008416
symmetric,middle,f1,2000,500,one_book,1000,613.794846112894,20,485,0.31879877503167664,0.20389630493659552,0.44565550618718935,0.062129697085835045,0.04166549070682867,0.08553168081965778,-0.03874139968005523,-0.06091051707476093,-0.018563289941132672
symmetric,middle,f1,2000,500,two_books,1000,760.68509896574,20,485,0.42333521383327505,0.3147927357358561,0.5341432357378525,0.05103642837083568,0.0307231187088142,0.07666642372900323,-0.026098988081870805,-0.051983539145071735,-0.00662511162948045
symmetric,middle,f1,2000,1000,one_book,2000,885.5757668938548,20,485,0.3893749370616275,0.2942512192882218,0.4932470023793181,0.06501851051907967,0.035947778546569664,0.1018775437541907,-0.03901461794167135,-0.07468931147558798,-0.01120807767910979
